state_abb,rep_2016_actual,dem_2016_actual,dem_2016_pred,rep_2016_pred,total_evs_2016,dem_mandatory,rep_mandatory,winner_2016,dem_ev_2016,dem_evs_2016pred,dem_evs_mandatory,dem_probability_mandatory,dem_probability_2016pred
AK,0.583856547,0.416143453,0.469741802,0.530258198,3,0.479329209,0.520670791,R,0,0,0,0.284316517,0.202007948
AL,0.643741436,0.356258564,0.404825935,0.595174065,9,0.429917827,0.570082173,R,0,0,0,0.026633552,0.004335737
AR,0.642851377,0.357148623,0.377287365,0.622712635,6,0.394281079,0.605718921,R,0,0,0,0.001775305,3.57E-04
AZ,0.518900234,0.481099766,0.480383695,0.519616305,11,0.50122023,0.49877977,R,0,0,11,0.513422631,0.294258999
CA,0.338717794,0.661282206,0.645735172,0.354264828,55,0.666434974,0.333565026,D,55,55,55,0.999997784,0.999970794
CO,0.473166666,0.526833334,0.548601212,0.451398788,9,0.562423406,0.437576594,D,9,9,9,0.957422942,0.909932613
CT,0.428584525,0.571415475,0.571084567,0.428915433,7,0.58760848,0.41239152,D,7,7,7,0.992156025,0.975025095
DC,0.043048117,0.956951883,0.873070803,0.126929197,3,0.879767623,0.120232377,D,3,3,3,1,1
DE,0.440013785,0.559986215,0.552780845,0.447219155,3,0.572509097,0.427490903,D,3,3,3,0.97723257,0.927249422
FL,0.506188355,0.493811645,0.498624919,0.501375081,29,0.524387721,0.475612279,R,0,0,29,0.749390378,0.484874764
GA,0.526611726,0.473388274,0.491791271,0.508208729,16,0.518775608,0.481224392,R,0,0,16,0.697701049,0.410451768
HI,0.325586626,0.674413374,0.727525005,0.272474995,4,0.736788952,0.263211048,D,4,4,4,1,1
IA,0.550635478,0.449364522,0.475078954,0.524921046,6,0.483839502,0.516160498,R,0,0,0,0.327914383,0.245952901
ID,0.683101767,0.316898233,0.350440948,0.649559052,4,0.361177607,0.638822393,R,0,0,0,6.45E-05,1.86E-05
IL,0.409799486,0.590200514,0.568054626,0.431945374,20,0.587574826,0.412425174,D,20,20,20,0.992136009,0.969729495
IN,0.601173095,0.398826905,0.424493124,0.575506876,11,0.436435265,0.563564735,R,0,0,0,0.039800219,0.018655099
KS,0.611114704,0.388885296,0.406020816,0.593979184,6,0.418722433,0.581277567,R,0,0,0,0.012496871,0.004773918
KY,0.656706291,0.343293709,0.364160606,0.635839394,8,0.37750145,0.62249855,R,0,0,0,3.65E-04,8.98E-05
LA,0.601716773,0.398283227,0.445529482,0.554470518,8,0.473903903,0.526096097,R,0,0,0,0.23585895,0.066521978
MA,0.353487213,0.646512787,0.599147468,0.400852532,11,0.613387287,0.386612713,D,11,11,11,0.999117096,0.996874551
MD,0.359837503,0.640162497,0.618464014,0.381535986,10,0.636547883,0.363452117,D,10,10,10,0.999916979,0.999456607
ME*,0.484032088,0.515967912,0.522298678,0.477701322,4,0.526849751,0.473150249,D,4,4,4,0.770492952,0.730709523
MI,0.501176682,0.498823318,0.508248969,0.491751031,16,0.523295935,0.476704065,R,0,16,16,0.739713682,0.58997971
